WDJname,GaiaEDR3,Pwd,amax,MassH,e_MassH,MassHe,e_MassHe,Massmix,e_Massmix,rgeo,Radius (pc),Radius (m),Mass (kg)
WDJ004707.55-731057.74,4.69E+18,0.824068,0.413134,0.137285,1.18E-01,0.121036,0.03051,0.12128,0.062463,1062.028,0.43876,1.35E+16,2.60E+29
WDJ004823.94-732449.60,4.69E+18,0.852347,0.349192,0.138618,5.14E-02,0.128803,0.055192,0.128916,0.05317,1075.588,0.3755865,1.16E+16,2.62E+29
WDJ004148.20-732328.72,4.69E+18,0.73299,0.234529,0.142366,1.23E-01,0.124538,0.096295,0.122314,0.092644,1500.354,0.3518765,1.09E+16,2.69E+29
WDJ004505.47+393649.86,3.69E+17,0.81032,0.167169,0.142555,2.06E-02,0.154296,0.02643,0.132658,0.019357,367.2768,0.0613973,1.90E+15,2.70E+29
WDJ004815.84-723707.78,4.69E+18,0.731772,0.589587,0.143709,1.20E-02,0.164477,0.05501,0.131075,0.033135,1125.122,0.6633572,2.05E+16,2.72E+29
WDJ004746.48-731042.97,4.69E+18,0.965682,0.322511,0.143824,4.56E-02,0.171,0.053585,0.171336,0.053784,759.4807,0.2449409,7.56E+15,2.72E+29
WDJ004959.29-725509.93,4.69E+18,0.922495,0.341937,0.145692,5.04E-02,0.159169,0.067786,0.158431,0.068431,1268.447,0.4337288,1.34E+16,2.76E+29
WDJ004853.32-725747.74,4.69E+18,0.774194,0.464999,0.147631,7.09E-02,0.142225,0.060288,0.14249,0.061449,952.451,0.4428887,1.37E+16,2.79E+29
WDJ004336.69-724934.55,4.69E+18,0.825471,0.591248,0.14792,9.41E-02,0.122109,0.078352,0.121398,0.07732,1534.153,0.907065,2.80E+16,2.80E+29
WDJ004031.64-735447.39,4.69E+18,0.760526,0.286626,0.150617,1.36E-01,0.131175,0.108196,0.128095,0.104756,1520.837,0.4359114,1.35E+16,2.85E+29
WDJ004000.72-584031.67,4.91E+18,0.852025,0.117721,0.151152,2.94E-02,0.166162,0.028699,,,888.0286,0.1045396,3.23E+15,2.86E+29
WDJ004459.73-734133.82,4.69E+18,0.840805,0.303594,0.154455,2.63E-02,0.133758,0.01948,0.131374,0.018472,1492.952,0.4532511,1.40E+16,2.92E+29
WDJ003224.25+363120.47,3.67E+17,0.830805,0.535136,0.154879,1.93E-02,0.175799,0.036573,0.161182,0.008054,880.0237,0.4709323,1.45E+16,2.93E+29
WDJ004503.95-730005.81,4.69E+18,0.752573,0.439063,0.155481,3.03E-02,0.123614,0.077263,0.122719,0.085186,1849.509,0.812051,2.51E+16,2.94E+29
WDJ004908.03-732551.69,4.69E+18,0.819134,0.231104,0.1582,3.05E-02,0.182378,0.043603,0.183179,0.043717,1028.704,0.2377375,7.34E+15,2.99E+29
WDJ002535.76-751904.05,4.69E+18,0.854458,0.704767,0.163121,1.10E-01,0.20197,0.150289,0.15356,0.099326,676.1462,0.4765255,1.47E+16,3.08E+29
WDJ003054.66-632144.45,4.90E+18,0.957556,0.038148,0.163632,3.84E-03,0.181775,0.005261,0.161637,0.006121,108.7564,0.0041488,1.28E+14,3.09E+29
WDJ004143.40-732313.84,4.69E+18,0.920715,0.396305,0.1653,7.46E-02,0.175513,0.090595,0.174245,0.089384,1376.258,0.5454181,1.68E+16,3.13E+29
WDJ003113.11-205142.64,2.36E+18,0.873846,0.823556,0.169556,1.01E-01,0.183273,0.05787,0.167802,0.150878,1739.2,1.4323284,4.42E+16,3.21E+29
WDJ004352.96-783856.77,4.63E+18,0.836716,0.850151,0.171096,9.97E-02,0.195912,0.166084,0.196278,0.1505,4259.634,3.6213319,1.12E+17,3.24E+29
WDJ002919.76-542902.77,4.92E+18,0.710012,0.674907,0.171578,1.51E-02,0.175252,0.027145,0.14015,0.077624,968.8845,0.6539069,2.02E+16,3.24E+29
WDJ003335.35+391706.60,3.81E+17,0.868427,0.314502,0.172987,5.68E-02,0.190554,0.064134,0.164906,0.063221,536.7773,0.1688175,5.21E+15,3.27E+29
WDJ005022.79-730229.70,4.69E+18,0.962287,0.644705,0.173817,9.40E-02,0.217533,0.165916,0.217816,0.165515,1066.282,0.6874373,2.12E+16,3.29E+29
WDJ004631.16+341000.31,3.62E+17,0.955946,0.319058,0.174571,8.39E-02,0.213237,0.112891,0.213207,0.114488,1132.571,0.3613558,1.12E+16,3.30E+29
WDJ003842.81-734410.14,4.69E+18,0.799317,0.320605,0.174751,2.94E-02,0.192164,0.009523,0.191643,0.00746,1880.521,0.6029045,1.86E+16,3.30E+29
WDJ002632.25-730233.05,4.69E+18,0.879984,0.334216,0.175477,4.74E-02,0.180383,0.05685,,,1336.745,0.4467614,1.38E+16,3.32E+29
WDJ003229.56-660910.57,4.71E+18,0.759512,0.60519,0.178266,1.25E-01,0.193381,0.137953,0.148781,0.087697,725.1936,0.4388799,1.35E+16,3.37E+29
WDJ002703.71-372925.29,5.00E+18,0.949055,0.46409,0.188719,1.15E-01,0.223763,0.160462,0.224116,0.162219,1322.672,0.6138389,1.89E+16,3.57E+29
WDJ004137.65-732748.05,4.69E+18,0.844847,0.26509,0.19588,4.77E-02,0.214684,0.048314,0.215175,0.048245,1555.93,0.4124614,1.27E+16,3.70E+29
WDJ004436.52-731223.85,4.69E+18,0.854265,0.319898,0.198069,1.91E-01,0.12018,0.044083,0.120114,0.048249,1025.57,0.3280779,1.01E+16,3.75E+29
WDJ004449.47-182625.85,2.37E+18,0.986418,0.342961,0.198515,5.34E-02,0.233679,0.052728,0.233958,0.052854,601.4022,0.2062575,6.36E+15,3.75E+29
WDJ003336.40-450620.26,4.98E+18,0.951002,0.50142,0.19856,4.69E-02,0.230057,0.146346,0.22921,0.142358,1010.244,0.5065564,1.56E+16,3.75E+29
WDJ004848.23-730349.23,4.69E+18,0.946183,0.451577,0.199032,8.62E-02,0.198134,0.093481,0.197886,0.092682,922.6068,0.416628,1.29E+16,3.76E+29
WDJ004423.57-293217.86,2.34E+18,0.792835,0.804335,0.199206,3.44E-02,0.201721,0.03274,0.175333,0.054778,1105.155,0.8889144,2.74E+16,3.77E+29
WDJ003130.08+035423.61,2.55E+18,0.987054,1.163487,0.199392,1.30E-01,0.223338,0.122317,,,261.0762,0.3037587,9.37E+15,3.77E+29
WDJ004956.71-740405.68,4.69E+18,0.910993,0.646836,0.200724,9.45E-02,0.223663,0.12416,0.202243,0.10893,958.6509,0.6200899,1.91E+16,3.80E+29
WDJ004137.63-733249.33,4.69E+18,0.955952,0.397543,0.201807,8.82E-02,0.209231,0.097515,0.20924,0.09728,995.322,0.3956833,1.22E+16,3.82E+29
WDJ005019.30-732405.95,4.69E+18,0.844544,1.092051,0.203603,7.22E-02,,,,,1051.292,1.1480641,3.54E+16,3.85E+29
WDJ004321.30-733046.73,4.69E+18,0.958036,0.586452,0.205076,9.64E-02,0.232879,0.134268,0.23163,0.138509,1088.86,0.6385641,1.97E+16,3.88E+29
WDJ002813.14+154825.44,2.79E+18,0.80749,0.735938,0.20741,5.87E-02,0.227236,0.103513,0.216042,0.15273,945.0674,0.6955109,2.15E+16,3.92E+29
WDJ004551.79-731118.60,4.69E+18,0.919631,0.531374,0.209589,7.83E-02,0.214441,0.087719,0.19268,0.092827,682.1927,0.3624995,1.12E+16,3.96E+29
WDJ004232.51+415402.97,3.81E+17,0.748486,0.111362,0.21095,1.93E-02,0.210347,0.017872,0.166185,0.018541,188.5381,0.020996,6.48E+14,3.99E+29
WDJ004625.57-731008.87,4.69E+18,0.873434,0.606838,0.2121,1.33E-01,0.211118,0.124965,0.210543,0.131036,1171.958,0.7111886,2.19E+16,4.01E+29
WDJ004953.32-732457.24,4.69E+18,0.959578,0.523644,0.213662,1.51E-01,0.231331,0.172741,0.231453,0.171823,1055.991,0.5529632,1.71E+16,4.04E+29
WDJ004151.49+263721.05,2.81E+18,0.719491,1.296437,0.216657,1.56E-01,0.225819,0.149442,0.181132,0.061871,793.0022,1.0280771,3.17E+16,4.10E+29
WDJ003451.23+044840.40,2.55E+18,0.878249,0.760508,0.21806,7.52E-02,0.239001,0.039878,0.239369,0.046082,1504.399,1.1441072,3.53E+16,4.12E+29
WDJ004025.89+305718.20,2.86E+18,0.967361,0.758238,0.218689,1.26E-01,0.244945,0.1503,0.24514,0.151767,942.3581,0.7145316,2.21E+16,4.14E+29
WDJ003218.48-112116.38,2.43E+18,0.951029,0.801634,0.219194,1.10E-01,0.255104,0.229911,0.255486,0.230465,1476.063,1.1832625,3.65E+16,4.14E+29
WDJ004805.26-731348.96,4.69E+18,0.992859,0.382927,0.21965,7.22E-02,0.252548,0.099252,0.250364,0.112842,644.7163,0.2468793,7.62E+15,4.15E+29
WDJ004652.50-173722.08,2.37E+18,0.700691,1.338987,0.220054,1.90E-01,0.270073,0.230062,,,209.9496,0.2811197,8.67E+15,4.16E+29
WDJ003707.54-732856.37,4.69E+18,0.961864,0.264326,0.22079,4.84E-02,0.219383,0.051034,0.220389,0.051189,854.7988,0.2259456,6.97E+15,4.18E+29
WDJ003342.92-442652.23,4.98E+18,0.811954,0.135774,0.222179,2.63E-02,0.267464,0.015591,,,69.75436,0.0094708,2.92E+14,4.20E+29
WDJ003543.18-265616.34,2.34E+18,0.764577,0.519726,0.223263,7.21E-02,0.247687,0.060878,,,147.2913,0.0765511,2.36E+15,4.22E+29
WDJ003046.73+241756.35,2.81E+18,0.934015,0.737078,0.22452,1.79E-01,0.234099,0.183392,0.235552,0.183351,1138.89,0.8394503,2.59E+16,4.25E+29
WDJ004839.23+560918.78,4.24E+17,0.755485,1.152301,0.225132,1.58E-01,0.241854,0.152978,,,281.6633,0.3245609,1.00E+16,4.26E+29
WDJ004502.35+503408.46,4.15E+17,0.955155,0.151121,0.225228,3.16E-02,0.235826,0.02846,0.236553,0.02834,567.5941,0.0857754,2.65E+15,4.26E+29
WDJ004952.11-731926.57,4.69E+18,0.718389,0.227232,0.227035,1.50E-01,0.171889,0.103962,0.18114,0.113373,1301.658,0.2957784,9.13E+15,4.29E+29
WDJ003751.15-725744.22,4.69E+18,0.761844,0.183213,0.227523,1.30E-01,0.154933,0.074895,0.156645,0.076368,1266.277,0.2319984,7.16E+15,4.30E+29
WDJ004848.59-725732.06,4.69E+18,0.975442,0.492407,0.229629,1.36E-01,0.248884,0.153435,0.249058,0.1535,992.9934,0.4889569,1.51E+16,4.34E+29
WDJ002550.46-740341.71,4.69E+18,0.965765,0.495095,0.229864,1.38E-01,0.233726,0.149905,0.232814,0.149906,1169.925,0.5792239,1.79E+16,4.35E+29
WDJ002641.94-511140.80,4.97E+18,0.90157,0.857249,0.230364,6.81E-02,0.249582,0.061459,0.244278,0.028584,896.7846,0.7687676,2.37E+16,4.36E+29
WDJ002950.49-255543.72,2.35E+18,0.800361,0.496923,0.231536,5.59E-02,0.236051,0.054163,0.19252,0.056911,344.0295,0.1709562,5.28E+15,4.38E+29
WDJ004731.68+410118.78,3.69E+17,0.843444,0.874891,0.231997,5.25E-02,0.242354,0.0663,,,1223.977,1.0708464,3.30E+16,4.39E+29
WDJ004607.24-102331.01,2.38E+18,0.935492,1.06418,0.232776,8.14E-02,0.244828,0.111344,0.23831,0.088917,1411.708,1.5023109,4.64E+16,4.40E+29
WDJ004414.67-730544.13,4.69E+18,0.929361,0.670475,0.233213,1.04E-01,0.219135,0.098284,0.186743,0.083314,675.3931,0.4528342,1.40E+16,4.41E+29
WDJ004640.09-242124.18,2.35E+18,0.967559,0.763974,0.233221,1.15E-01,0.256991,0.181224,0.256912,0.183515,1007.336,0.7695783,2.38E+16,4.41E+29
WDJ003343.59-210441.92,2.36E+18,0.705528,0.854514,0.233352,1.41E-01,0.235867,0.139169,0.19192,0.111252,582.0062,0.4973324,1.54E+16,4.41E+29
WDJ004302.63+293626.29,2.86E+18,0.793299,1.242542,0.234665,1.42E-02,0.241113,0.056096,,,1173.785,1.4584764,4.50E+16,4.44E+29
WDJ004030.38-491301.64,4.97E+18,0.885343,0.608259,0.234695,1.25E-01,0.245467,0.242909,,,939.1278,0.5712329,1.76E+16,4.44E+29
WDJ003119.73+344041.23,3.65E+17,0.710534,0.7181,0.235481,1.41E-01,0.237074,0.125793,0.203644,0.075458,819.9457,0.588803,1.82E+16,4.45E+29
WDJ004236.65+033815.53,2.55E+18,0.954983,0.950252,0.23612,1.35E-01,0.263265,0.17764,0.262565,0.183144,878.2429,0.834552,2.58E+16,4.47E+29
WDJ004141.57-674107.14,4.70E+18,0.88901,0.250917,0.23674,4.47E-02,0.242373,0.056996,0.242386,0.057883,1169.419,0.2934272,9.05E+15,4.48E+29
WDJ003221.86+073934.50,2.75E+18,0.98895,0.184356,0.236921,2.43E-02,0.258242,0.024766,0.258329,0.024619,384.493,0.0708836,2.19E+15,4.48E+29
WDJ004521.72-725411.23,4.69E+18,0.986642,0.616971,0.236935,1.12E-01,0.26135,0.127159,0.26093,0.132143,797.7554,0.4921919,1.52E+16,4.48E+29
WDJ004620.17-450217.44,4.98E+18,0.911021,1.038367,0.237146,1.80E-01,0.251803,0.172182,,,285.8547,0.296822,9.16E+15,4.48E+29
WDJ002537.10-792314.84,4.63E+18,0.856818,1.19738,0.237257,1.06E-01,0.260607,0.255487,,,1081.741,1.2952547,4.00E+16,4.49E+29
WDJ004812.55-724436.15,4.69E+18,0.96904,0.523274,0.237824,1.57E-01,0.246416,0.178434,0.245938,0.180041,1178.259,0.6165524,1.90E+16,4.50E+29
WDJ004540.51+245452.02,2.81E+18,0.866125,1.292946,0.238547,2.32E-01,0.246899,0.204215,,,422.897,0.5467828,1.69E+16,4.51E+29
WDJ004138.16-360144.86,5.00E+18,0.886318,0.925533,0.238551,1.52E-01,0.249544,0.028723,0.24895,0.026902,1144.371,1.0591528,3.27E+16,4.51E+29
WDJ003449.86-312952.69,2.32E+18,0.881798,0.090885,0.239002,8.93E-03,0.240844,0.005006,0.240827,0.005671,431.2966,0.0391984,1.21E+15,4.52E+29
WDJ004618.18-731125.07,4.69E+18,0.733099,0.383379,0.240142,1.23E-01,0.238724,0.070818,0.239567,0.07107,1639.473,0.6285394,1.94E+16,4.54E+29
WDJ003352.64+385529.70,3.81E+17,0.955986,0.207397,0.241192,5.50E-02,0.246176,0.07301,0.246382,0.071724,902.8814,0.1872549,5.78E+15,4.56E+29
WDJ004927.37-730413.57,4.69E+18,0.966044,0.416442,0.242135,1.23E-01,0.249388,0.125769,0.25015,0.126147,1485.817,0.6187567,1.91E+16,4.58E+29
WDJ004755.93-391304.67,5.00E+18,0.923004,0.624247,0.242196,3.84E-02,0.261802,0.189555,0.259379,0.22179,1043.049,0.6511204,2.01E+16,4.58E+29
WDJ003917.36+355605.00,3.66E+17,0.707847,0.711063,0.243623,2.30E-01,0.25172,0.217598,0.211645,0.15906,802.6674,0.570747,1.76E+16,4.61E+29
WDJ004751.63+281028.87,2.81E+18,0.895748,1.067587,0.244416,1.82E-02,0.261426,0.149224,0.25837,0.161231,1181.903,1.2617836,3.89E+16,4.62E+29
WDJ004715.75-731119.20,4.69E+18,0.983979,0.405186,0.244441,1.21E-01,,,,,1121.604,0.4544583,1.40E+16,4.62E+29
WDJ004441.04-253934.76,2.34E+18,0.828727,1.149538,0.24555,2.06E-01,0.233417,0.142697,0.194878,0.077317,888.2756,1.0211064,3.15E+16,4.64E+29
WDJ004326.92-290921.69,2.34E+18,0.830853,1.144435,0.245578,1.17E-01,0.238667,0.163349,,,978.9044,1.1202922,3.46E+16,4.64E+29
WDJ002811.31+494747.37,3.92E+17,0.916221,0.703007,0.24579,1.85E-01,0.276772,0.263505,0.277132,0.261871,1665.589,1.1709208,3.61E+16,4.65E+29
WDJ004953.95+313041.84,3.60E+17,0.775975,0.628241,0.245837,9.95E-02,0.279948,0.08537,,,145.4868,0.0914008,2.82E+15,4.65E+29
WDJ004640.85-731130.58,4.69E+18,0.907951,0.499176,0.246389,1.37E-01,0.208336,0.131073,0.207697,0.129511,1018.189,0.5082553,1.57E+16,4.66E+29
WDJ004108.58+464347.05,3.90E+17,0.883086,1.259602,0.246621,1.43E-01,0.274403,0.168188,,,210.1251,0.2646739,8.17E+15,4.66E+29
WDJ004330.06+014639.17,2.55E+18,0.970955,0.649115,0.246744,8.73E-02,0.245076,0.094077,0.227694,0.100652,610.3599,0.3961937,1.22E+16,4.67E+29
WDJ003902.48-003000.38,2.54E+18,0.981216,0.491687,0.24759,6.25E-02,0.267007,0.072657,0.264394,0.078342,541.5624,0.2662792,8.22E+15,4.68E+29
WDJ002624.86+492345.09,3.94E+17,0.743153,1.22585,0.249639,2.20E-01,0.258948,0.191107,,,719.5622,0.8820751,2.72E+16,4.72E+29
WDJ004541.59-271117.42,2.34E+18,0.860459,0.940498,0.249738,8.44E-02,0.256242,0.107223,0.237212,0.070458,782.0614,0.7355271,2.27E+16,4.72E+29
WDJ004408.55+215711.72,2.80E+18,0.965891,0.753775,0.249881,1.72E-01,0.264251,0.191347,0.264488,0.180113,1245.677,0.9389603,2.90E+16,4.73E+29
WDJ004759.73+513837.51,4.15E+17,0.750101,0.47479,0.250384,6.87E-02,0.252884,0.072536,0.229837,0.081342,469.9234,0.2231149,6.89E+15,4.73E+29
WDJ004743.18+475118.69,3.90E+17,0.900255,0.607078,0.250519,1.14E-01,0.287844,0.253977,0.291434,0.257206,2355.133,1.4297492,4.41E+16,4.74E+29
WDJ003429.66-825449.12,4.63E+18,0.94304,0.557238,0.250619,1.65E-01,0.255929,0.175578,0.256302,0.174709,1033.242,0.5757615,1.78E+16,4.74E+29
WDJ003504.08-291641.31,2.32E+18,0.731063,2.837642,0.251069,1.94E-01,0.313904,0.303644,,,257.3922,0.7303859,2.25E+16,4.75E+29
WDJ003650.38-165850.40,2.37E+18,0.728699,0.43259,0.251747,5.78E-02,0.249638,0.057,0.210241,0.050091,275.9842,0.119388,3.68E+15,4.76E+29
WDJ003925.21+254823.74,2.81E+18,0.982095,0.166057,0.251786,1.90E-02,0.247922,0.020669,0.248222,0.020761,340.5039,0.0565431,1.75E+15,4.76E+29
WDJ004740.22+254532.23,2.81E+18,0.727352,1.298821,0.252198,1.75E-01,0.284349,0.188272,,,205.9794,0.2675303,8.26E+15,4.77E+29
WDJ003609.42+422438.22,3.82E+17,0.826874,0.9604,0.253226,6.12E-02,0.259213,0.026177,0.246414,0.069814,1247.214,1.1978244,3.70E+16,4.79E+29
WDJ003309.90+210812.86,2.80E+18,0.779076,0.606891,0.253465,1.66E-01,0.250775,0.164653,0.223053,0.169292,603.0283,0.3659724,1.13E+16,4.79E+29
WDJ002629.80-191210.71,2.36E+18,0.713395,0.954881,0.254675,2.26E-01,0.256579,0.217527,0.220324,0.184583,459.3682,0.4386419,1.35E+16,4.82E+29
WDJ002715.53-463439.24,4.98E+18,0.746821,0.45878,0.25474,1.07E-01,0.252304,0.105005,0.213331,0.085456,451.8932,0.2073195,6.40E+15,4.82E+29
WDJ004455.02-411911.08,5.00E+18,0.97521,0.201426,0.254765,6.76E-02,0.304843,0.080482,0.30942,0.080846,842.563,0.1697141,5.24E+15,4.82E+29
WDJ003428.69-611654.85,4.90E+18,0.855553,0.737831,0.254935,2.13E-01,0.256686,0.207564,,,766.7691,0.565746,1.75E+16,4.82E+29
WDJ004605.76-651925.06,4.71E+18,0.86461,0.954104,0.255302,1.83E-01,0.252156,0.185647,,,904.1159,0.8626205,2.66E+16,4.83E+29
WDJ004244.03+365820.74,3.67E+17,0.988843,0.452414,0.256152,1.20E-01,0.2656,0.130601,0.263551,0.140637,685.7123,0.3102259,9.57E+15,4.84E+29
WDJ002916.16+514713.57,4.16E+17,0.930176,0.210658,0.256794,3.03E-02,0.27033,0.039109,0.266784,0.045511,389.8018,0.0821149,2.53E+15,4.86E+29
WDJ004124.67+824129.86,5.67E+17,0.948557,0.340976,0.257842,4.33E-02,0.284295,0.036448,,,87.77689,0.0299298,9.24E+14,4.88E+29
WDJ004539.28-734018.23,4.69E+18,0.958063,0.327296,0.258136,1.17E-01,0.21981,0.114157,0.216056,0.11354,992.9498,0.3249885,1.00E+16,4.88E+29
WDJ003514.68+053602.55,2.56E+18,0.927792,1.070982,0.258284,2.32E-01,,,,,1130.983,1.2112625,3.74E+16,4.88E+29
WDJ004500.52+260340.20,2.81E+18,0.876314,0.825316,0.258285,1.70E-01,0.251052,0.161408,0.227698,0.138825,831.5768,0.6863136,2.12E+16,4.88E+29
WDJ003434.60+343001.07,3.65E+17,0.716569,1.029406,0.259083,2.58E-01,0.262246,0.230019,,,482.2363,0.4964169,1.53E+16,4.90E+29
WDJ003714.15-465221.08,4.98E+18,0.894445,0.622672,0.260059,1.78E-01,0.261123,0.171076,0.239883,0.187638,771.9072,0.4806449,1.48E+16,4.92E+29
WDJ004404.37-733940.04,4.69E+18,0.920582,0.437367,0.260366,1.05E-01,0.267047,0.122811,0.25753,0.143306,675.0929,0.2952633,9.11E+15,4.92E+29
WDJ003244.43+283544.30,2.86E+18,0.746184,0.576881,0.260636,8.51E-02,0.264834,0.082387,,,217.8658,0.1256826,3.88E+15,4.93E+29
WDJ004931.69-724612.98,4.69E+18,0.712795,0.276655,0.260779,1.47E-01,0.180443,0.09283,0.193257,0.103351,948.662,0.2624521,8.10E+15,4.93E+29
WDJ004336.45+284025.94,2.81E+18,0.932067,0.81878,0.261244,1.36E-01,0.266653,0.157043,0.256095,0.178424,701.9511,0.5747435,1.77E+16,4.94E+29
WDJ002602.00-440133.05,4.99E+18,0.989938,0.246686,0.261708,6.53E-02,0.276656,0.07842,0.274313,0.087025,499.6319,0.1232522,3.80E+15,4.95E+29
WDJ004353.60-334146.55,5.01E+18,0.908835,0.906051,0.261904,1.02E-01,0.266293,0.115005,0.252587,0.070085,999.0482,0.9051885,2.79E+16,4.95E+29
WDJ004739.98+322516.67,3.61E+17,0.86757,0.775646,0.262795,1.56E-01,0.279605,0.131621,,,185.7177,0.1440511,4.45E+15,4.97E+29
WDJ003628.11+520713.66,4.16E+17,0.933369,0.651383,0.263023,2.38E-01,,,,,1278.727,0.8329409,2.57E+16,4.97E+29
WDJ004818.46-732835.82,4.69E+18,0.954132,0.40166,0.26347,1.02E-01,0.245847,0.105877,0.245667,0.106392,1040.319,0.4178546,1.29E+16,4.98E+29
WDJ003911.45-593735.98,4.91E+18,0.772376,0.347549,0.2643,4.45E-02,0.264397,0.043275,,,201.3519,0.0699797,2.16E+15,5.00E+29
WDJ004414.85-543853.34,4.92E+18,0.922883,1.029878,0.264534,6.14E-02,0.284757,0.238239,,,1059.106,1.0907496,3.37E+16,5.00E+29
WDJ003959.22+481349.91,3.91E+17,0.782274,0.645743,0.264568,1.61E-01,0.269907,0.172965,0.251602,0.188947,821.9612,0.5307757,1.64E+16,5.00E+29
WDJ004842.87-131500.60,2.38E+18,0.793468,1.46747,0.265111,1.32E-01,0.261082,0.079036,0.229511,0.041229,1186.785,1.7415713,5.37E+16,5.01E+29
WDJ004817.99+223900.18,2.80E+18,0.717204,0.73145,0.265365,1.42E-01,0.265301,0.144681,0.229995,0.125574,319.9265,0.2340102,7.22E+15,5.02E+29
WDJ003216.97+234948.69,2.81E+18,0.967217,0.445393,0.265646,7.00E-02,0.273833,0.081511,0.264365,0.092825,533.399,0.2375722,7.33E+15,5.02E+29
WDJ003044.30+035822.12,2.55E+18,0.920552,1.021968,0.265796,1.79E-01,0.272421,0.243864,,,840.2734,0.8587324,2.65E+16,5.03E+29
